id,saleprice,overall_qual,gr_liv_area,garage_area,total_sq_feet,age_of_house,total_baths,neighborhood,foundation,exter_qual,heating_qc,kitchen_qual
109,130500,6,1479,475.0,2204.0,34,2.5,Sawyer,CBlock,Gd,Ex,Gd
544,220000,7,2122,559.0,3035.0,13,3.5,SawyerW,PConc,Gd,Ex,Gd
153,109000,5,1057,246.0,2114.0,57,2.0,NAmes,CBlock,TA,TA,Gd
318,174000,5,1444,400.0,1828.0,4,2.5,Timber,PConc,TA,Gd,TA
255,138500,6,1445,484.0,2121.0,110,2.0,SawyerW,PConc,TA,TA,TA
138,190000,6,1888,578.0,3405.0,44,2.5,NAmes,CBlock,Gd,Ex,Gd
2827,140000,6,1072,525.0,1619.0,1,3.0,Edwards,PConc,TA,Gd,TA
145,142000,5,1188,531.0,2376.0,51,2.0,NAmes,CBlock,TA,Fa,TA
1942,112500,5,924,420.0,1848.0,55,1.0,OldTown,CBlock,TA,TA,TA
1956,135000,5,2080,504.0,3120.0,38,2.5,NAmes,PConc,TA,TA,Fa
1044,85400,6,987,264.0,1470.0,37,1.5,BrDale,CBlock,TA,TA,TA
2752,183600,7,1208,632.0,2416.0,1,2.0,CollgCr,PConc,Gd,Ex,Gd
807,131000,5,2016,576.0,2016.0,129,1.0,SawyerW,PConc,Gd,Ex,TA
1177,200000,8,1607,480.0,2567.0,9,3.5,Somerst,PConc,Gd,Ex,Gd
1480,193000,7,1361,610.0,2712.0,1,2.0,CollgCr,PConc,Gd,Ex,Gd
324,173500,5,1430,624.0,2860.0,6,2.0,Mitchel,PConc,TA,Ex,Gd
1311,98000,5,1344,513.0,1968.0,92,1.0,OldTown,BrkTil,TA,Fa,TA
770,139000,5,1121,480.0,2242.0,46,2.0,Sawyer,PConc,TA,TA,TA
2063,143500,6,1285,528.0,1945.0,30,1.5,Sawyer,CBlock,TA,Ex,TA
69,215200,7,1547,614.0,2303.0,1,2.5,Somerst,PConc,TA,Ex,Gd
2062,129000,5,894,450.0,1788.0,39,1.0,Sawyer,CBlock,TA,Gd,TA
351,278000,8,1659,499.0,3160.0,9,3.0,StoneBr,PConc,Gd,Ex,Ex
2393,344133,8,2253,575.0,3462.0,1,2.5,NridgHt,PConc,Gd,Ex,Ex
12,185000,6,1187,420.0,2355.0,18,3.0,Gilbert,PConc,TA,Ex,TA
2339,145000,5,1056,572.0,2112.0,51,2.0,Gilbert,CBlock,TA,TA,TA
624,187500,6,1453,530.0,2906.0,48,3.0,NAmes,CBlock,TA,Ex,TA
86,138500,5,894,336.0,1788.0,45,2.0,Sawyer,CBlock,TA,Ex,TA
1534,198000,5,1938,240.0,2880.0,71,2.0,Crawfor,CBlock,TA,Ex,Gd
2243,119600,5,1991,0.0,2948.0,112,2.0,IDOTRR,CBlock,TA,Fa,TA
1957,122900,5,924,576.0,1596.0,58,1.0,NAmes,CBlock,TA,Ex,TA
380,278000,8,2524,542.0,5048.0,28,3.5,NWAmes,PConc,Gd,TA,Gd
2860,230000,8,1517,400.0,2309.0,77,1.0,Crawfor,PConc,TA,Fa,Gd
2517,270000,8,1494,481.0,2988.0,11,2.5,Veenker,PConc,Gd,Ex,Ex
1933,125000,6,948,410.0,1896.0,55,1.0,NAmes,CBlock,TA,TA,TA
820,297000,8,1718,826.0,3423.0,2,3.0,CollgCr,PConc,Gd,Ex,Gd
675,113500,6,1142,384.0,1302.0,51,1.0,NAmes,CBlock,TA,Fa,TA
2910,127000,5,1475,336.0,2232.0,29,2.0,MeadowV,PConc,TA,Ex,TA
21,190000,6,1844,546.0,3688.0,33,2.0,NWAmes,CBlock,TA,Ex,TA
1873,175500,7,1242,528.0,2484.0,34,1.5,NWAmes,CBlock,TA,Fa,TA
2125,146000,5,990,384.0,1980.0,13,2.0,CollgCr,PConc,TA,Ex,TA
1489,147500,5,1256,276.0,2512.0,43,2.5,Edwards,CBlock,Gd,Gd,TA
2383,465000,10,2076,850.0,4152.0,0,3.5,NridgHt,PConc,Ex,Ex,Ex
983,165500,5,1110,602.0,2207.0,31,2.0,Mitchel,PConc,TA,Ex,Gd
1325,131500,5,1795,352.0,2845.0,54,2.0,OldTown,BrkTil,TA,Ex,TA
1378,129500,5,1040,384.0,2080.0,43,2.0,Sawyer,CBlock,TA,Ex,TA
1537,257076,8,1873,786.0,2481.0,73,1.5,Crawfor,PConc,TA,TA,TA
905,117000,5,1604,660.0,2588.0,68,2.0,Edwards,CBlock,TA,Ex,TA
1532,149000,7,1502,270.0,2278.0,77,1.5,Crawfor,BrkTil,TA,TA,TA
132,128000,5,1063,280.0,2119.0,56,2.0,NAmes,CBlock,TA,TA,TA
1078,155000,7,1626,474.0,2390.0,5,2.5,NridgHt,PConc,Gd,Ex,Gd
2511,166000,6,1524,440.0,2280.0,6,2.5,Somerst,PConc,Gd,Ex,Gd
912,135000,4,1981,576.0,3103.0,81,3.0,SWISU,BrkTil,TA,TA,Gd
2351,250000,7,2784,564.0,4176.0,28,4.5,NWAmes,CBlock,TA,TA,Gd
330,76000,4,1092,0.0,1638.0,40,1.5,MeadowV,CBlock,TA,Ex,TA
2586,155000,6,1575,400.0,1791.0,55,1.5,NAmes,CBlock,TA,TA,Gd
224,158000,6,1352,299.0,2015.0,41,1.5,Sawyer,CBlock,TA,TA,TA
98,149500,7,1200,480.0,1800.0,6,3.5,Somerst,PConc,Gd,Ex,Gd
2565,121000,5,936,240.0,1872.0,52,1.0,NAmes,CBlock,TA,TA,TA
1934,136000,6,1040,293.0,2080.0,54,1.5,NAmes,CBlock,TA,TA,TA
997,173000,6,1636,386.0,2552.0,12,2.5,Gilbert,PConc,TA,Gd,TA
64,290000,8,2270,671.0,3422.0,11,2.5,NoRidge,PConc,Gd,Ex,Gd
1799,303477,8,2610,550.0,3794.0,0,2.5,Somerst,PConc,Gd,Ex,Ex
230,270000,7,1483,690.0,2903.0,33,2.5,ClearCr,CBlock,Gd,Gd,TA
1295,122250,5,1740,225.0,2676.0,88,1.0,OldTown,BrkTil,Fa,Gd,Ex
638,153000,5,1382,350.0,2764.0,54,1.5,NAmes,CBlock,TA,Gd,Gd
2278,147000,5,1120,0.0,2240.0,0,1.0,Mitchel,PConc,TA,Ex,TA
2202,148500,7,1098,216.0,1629.0,77,2.0,Crawfor,BrkTil,TA,TA,TA
2833,130000,7,1708,380.0,2684.0,2,2.0,Edwards,PConc,Gd,Ex,Gd
1707,372000,9,1802,843.0,3604.0,1,2.5,NridgHt,PConc,Ex,Ex,Ex
2428,213490,7,1506,440.0,2868.0,1,2.0,Blmngtn,PConc,Gd,Ex,Gd
242,308030,7,1508,572.0,3016.0,1,2.0,Edwards,PConc,Gd,Ex,Gd
1564,300000,7,2032,786.0,3872.0,12,4.0,Mitchel,PConc,Gd,Ex,Gd
2613,159500,6,1194,539.0,1849.0,47,1.5,NAmes,CBlock,TA,Ex,TA
2832,137500,7,1709,380.0,2679.0,2,2.0,Edwards,PConc,Gd,Ex,Gd
2459,232000,7,1616,834.0,3232.0,1,2.0,Somerst,PConc,Gd,Ex,Gd
1360,93850,6,768,440.0,1536.0,78,1.0,IDOTRR,BrkTil,Gd,TA,TA
2723,105000,5,872,322.0,1744.0,82,1.0,Sawyer,BrkTil,TA,Fa,Fa
1350,68500,4,520,240.0,1040.0,81,1.0,BrkSide,BrkTil,TA,Fa,Fa
136,154300,5,2274,480.0,3379.0,50,2.0,NAmes,CBlock,TA,TA,TA
2235,129850,5,1601,0.0,2537.0,82,2.0,IDOTRR,BrkTil,Gd,Ex,TA
1993,114000,5,1232,480.0,1848.0,97,1.0,OldTown,BrkTil,TA,Ex,TA
367,501837,9,2234,1166.0,4450.0,1,3.0,StoneBr,PConc,Ex,Ex,Ex
1309,153900,5,1416,720.0,2292.0,93,1.5,OldTown,BrkTil,TA,Gd,TA
402,130000,4,864,576.0,1728.0,38,1.0,NAmes,CBlock,TA,Gd,TA
1592,160500,6,1189,392.0,2378.0,11,3.0,Mitchel,PConc,TA,Ex,TA
2409,310090,9,1666,575.0,3332.0,0,3.0,NridgHt,PConc,Ex,Ex,Gd
539,184900,7,1200,555.0,2376.0,6,3.0,SawyerW,PConc,Gd,Ex,Gd
1940,132000,5,928,252.0,1856.0,51,1.0,NAmes,CBlock,TA,TA,TA
588,163000,5,1336,502.0,2624.0,40,2.5,NWAmes,CBlock,TA,TA,TA
96,155000,7,1200,480.0,1800.0,6,2.5,Somerst,PConc,Gd,Ex,Gd
1187,183000,6,1427,516.0,2854.0,39,2.5,NWAmes,CBlock,TA,Gd,TA
2154,211000,7,1992,608.0,2852.0,11,3.5,CollgCr,PConc,Gd,Ex,Gd
550,184000,7,1540,495.0,2294.0,15,3.5,SawyerW,PConc,Gd,Ex,Gd
811,118858,5,1535,400.0,1535.0,30,2.0,SawyerW,Slab,TA,TA,TA
124,180500,5,1152,484.0,2304.0,46,2.0,NAmes,PConc,TA,TA,TA
1836,166000,8,1151,484.0,2292.0,1,3.0,Somerst,PConc,Gd,Ex,Gd
779,148000,6,1138,480.0,2276.0,49,1.5,Sawyer,CBlock,TA,Ex,TA
1886,124000,5,1074,396.0,1968.0,51,1.0,NAmes,CBlock,TA,Gd,Gd
1724,277500,9,1561,556.0,3122.0,2,3.0,NridgHt,PConc,Ex,Ex,Ex
2450,350000,8,2726,725.0,4068.0,11,2.5,NoRidge,PConc,Gd,Ex,Gd
1013,387000,9,1884,670.0,3768.0,4,3.0,StoneBr,PConc,Ex,Ex,Ex
2084,86000,4,605,0.0,1133.0,87,2.0,Edwards,BrkTil,TA,Ex,TA
1184,290000,8,1671,550.0,3097.0,32,4.0,Veenker,CBlock,Ex,Ex,Ex
728,44000,3,797,0.0,1042.0,109,1.0,IDOTRR,CBlock,TA,TA,TA
950,215000,6,1961,560.0,2765.0,8,3.5,Mitchel,PConc,TA,Ex,Gd
2524,146500,5,1193,501.0,2346.0,34,3.0,NWAmes,CBlock,TA,Ex,TA
2513,165000,7,1382,490.0,2055.0,6,3.5,Somerst,PConc,Gd,Ex,Gd
2028,136000,6,2526,216.0,3240.0,91,2.0,OldTown,BrkTil,TA,TA,Gd
2309,252000,6,1390,550.0,3095.0,49,2.5,NAmes,CBlock,TA,Ex,Ex
51,175500,7,1626,474.0,2390.0,7,2.5,NridgHt,PConc,Gd,Ex,Gd
699,150000,5,1558,400.0,2248.0,70,1.5,OldTown,BrkTil,TA,TA,TA
1881,139900,5,1422,286.0,2400.0,47,1.0,NAmes,CBlock,TA,TA,TA
1345,162900,5,1573,360.0,2651.0,78,2.0,BrkSide,PConc,TA,TA,TA
166,160000,6,1116,440.0,2232.0,48,1.5,NAmes,CBlock,TA,TA,TA
781,63900,2,660,0.0,660.0,62,1.0,Sawyer,Slab,TA,Fa,Fa
379,184000,6,1707,479.0,2847.0,31,2.0,NWAmes,PConc,TA,Gd,TA
2818,149900,5,1466,528.0,2932.0,47,1.5,Edwards,CBlock,TA,TA,Fa
1168,300000,9,1638,495.0,3252.0,8,3.0,Somerst,PConc,Gd,Ex,Ex
1396,145000,5,1721,626.0,2709.0,48,3.0,ClearCr,CBlock,TA,Gd,TA
838,231500,6,1764,470.0,2692.0,12,3.5,CollgCr,PConc,TA,Ex,Gd
1492,108000,5,996,0.0,1992.0,68,2.0,Edwards,CBlock,TA,Ex,TA
637,120000,5,1202,304.0,2404.0,53,1.5,NAmes,CBlock,TA,TA,TA
1826,128500,5,988,572.0,1976.0,46,2.0,Sawyer,CBlock,TA,TA,TA
173,115000,5,1028,360.0,2036.0,83,1.0,OldTown,CBlock,TA,Gd,TA
715,110000,5,1284,240.0,2004.0,62,1.5,OldTown,CBlock,TA,TA,TA
1183,150000,9,2944,864.0,3938.0,31,3.0,Veenker,CBlock,Gd,TA,Gd
2433,178000,8,1414,403.0,2121.0,2,2.5,Gilbert,PConc,Gd,Ex,Gd
2866,199500,7,1609,579.0,2246.0,74,1.5,Crawfor,BrkTil,TA,Ex,Gd
2311,183500,6,1525,400.0,2338.0,9,3.5,Gilbert,PConc,TA,Ex,TA
1551,126000,5,1656,288.0,2280.0,41,1.5,IDOTRR,CBlock,Fa,Ex,TA
1049,148500,7,1055,440.0,2110.0,31,2.0,NPkVill,CBlock,TA,Fa,TA
657,149000,5,1352,720.0,2028.0,70,2.5,OldTown,BrkTil,TA,Ex,Gd
414,137900,6,1456,440.0,2311.0,32,2.5,NPkVill,CBlock,TA,TA,TA
1181,324000,8,1719,473.0,3438.0,15,3.5,Veenker,PConc,Gd,Ex,Gd
1514,98000,5,864,0.0,1728.0,83,2.0,Edwards,CBlock,TA,TA,TA
1040,103400,6,987,264.0,1470.0,35,2.0,BrDale,CBlock,TA,TA,TA
216,94000,5,1020,0.0,1800.0,135,1.0,Sawyer,CBlock,TA,Gd,TA
1720,209500,8,1554,627.0,3108.0,1,2.0,NridgHt,PConc,Gd,Ex,Gd
2331,545224,10,3390,758.0,4918.0,0,3.5,StoneBr,PConc,Ex,Ex,Ex
204,159900,6,1560,0.0,2340.0,98,1.5,OldTown,PConc,Gd,Ex,Gd
19,141000,4,864,400.0,1728.0,59,1.0,Gilbert,CBlock,TA,Ex,TA
2438,215000,6,1889,431.0,2871.0,6,2.5,Gilbert,PConc,TA,Ex,TA
89,127000,5,1040,260.0,2080.0,48,2.5,Sawyer,CBlock,TA,Ex,TA
240,128000,5,1172,366.0,2344.0,56,2.0,Edwards,CBlock,TA,TA,TA
105,267916,8,1418,852.0,3060.0,0,2.5,Somerst,PConc,Gd,Ex,Gd
2020,127500,6,1367,560.0,2251.0,76,1.0,BrkSide,BrkTil,TA,TA,TA
888,198500,7,1922,672.0,1922.0,6,3.0,Edwards,Slab,Gd,Ex,Gd
1019,175500,6,1422,576.0,2844.0,27,2.0,NWAmes,CBlock,TA,TA,Gd
2132,217500,7,1842,486.0,2827.0,7,3.5,CollgCr,PConc,Gd,Ex,Gd
203,149500,4,1962,572.0,2850.0,95,1.5,OldTown,CBlock,TA,Ex,TA
420,148800,5,1120,656.0,1984.0,43,1.5,NAmes,PConc,Gd,Ex,TA
2333,556581,9,2868,716.0,4860.0,1,3.5,StoneBr,PConc,Gd,Ex,Ex
632,156500,6,1478,442.0,2956.0,52,2.5,NAmes,CBlock,TA,Gd,TA
2800,237000,7,1995,610.0,2925.0,11,3.5,CollgCr,PConc,Gd,Ex,Gd
1885,120000,5,912,297.0,1824.0,49,1.5,NAmes,CBlock,TA,Fa,TA
1734,203000,6,1326,388.0,2652.0,2,3.0,Gilbert,PConc,TA,Ex,Gd
2327,130000,8,1204,461.0,2395.0,19,2.0,StoneBr,CBlock,TA,TA,TA
1282,167900,6,1611,442.0,2391.0,44,2.5,NAmes,CBlock,TA,TA,TA
2688,129000,4,960,576.0,1920.0,36,2.0,BrkSide,CBlock,TA,TA,TA
2581,134450,5,1236,447.0,2306.0,49,1.5,NAmes,CBlock,TA,TA,Gd
2067,112000,5,1416,576.0,2232.0,89,2.0,Sawyer,BrkTil,TA,Ex,Gd
2115,207000,7,1873,619.0,2802.0,19,3.5,SawyerW,PConc,Gd,Ex,Gd
754,62500,5,2128,0.0,3168.0,87,2.0,OldTown,BrkTil,TA,TA,TA
1079,154000,7,1626,474.0,2390.0,5,3.5,NridgHt,PConc,Gd,Ex,Gd
2615,129900,5,816,308.0,1632.0,49,2.0,NAmes,CBlock,TA,TA,TA
329,85000,5,1112,336.0,1648.0,34,1.5,MeadowV,CBlock,TA,TA,TA
1320,116900,7,1111,288.0,1683.0,82,1.0,OldTown,PConc,TA,TA,TA
416,148500,6,1441,440.0,2296.0,31,2.5,NPkVill,CBlock,TA,TA,TA
284,80000,4,924,280.0,1596.0,69,2.0,Edwards,BrkTil,TA,Fa,Fa
1385,152000,5,1126,506.0,2186.0,24,2.0,Sawyer,PConc,TA,TA,TA
275,155891,5,992,319.0,1373.0,56,1.0,Edwards,CBlock,TA,Ex,TA
2024,165000,6,1376,576.0,2144.0,87,1.0,BrkSide,PConc,TA,Ex,Gd
68,204500,7,1218,676.0,2436.0,1,2.0,Somerst,PConc,Gd,Ex,Gd
1910,146500,5,1644,312.0,2372.0,65,1.5,NAmes,CBlock,TA,Ex,Gd
381,157000,7,1601,478.0,2872.0,31,2.0,NWAmes,CBlock,TA,TA,TA
1323,184000,7,2495,342.0,3808.0,118,2.0,OldTown,BrkTil,TA,Gd,TA
2432,183200,6,1509,393.0,2292.0,4,3.5,Gilbert,PConc,Gd,Ex,Gd
777,139000,5,1092,288.0,2184.0,47,1.5,Sawyer,CBlock,TA,TA,TA
1107,341000,7,2418,983.0,3729.0,15,3.5,NoRidge,PConc,Gd,Ex,Gd
30,96000,6,987,264.0,1470.0,39,1.5,BrDale,CBlock,TA,TA,TA
282,140000,4,1121,440.0,2242.0,7,2.0,Edwards,PConc,TA,Ex,TA
188,149700,6,1236,923.0,2148.0,53,2.0,OldTown,CBlock,TA,TA,TA
2356,153500,5,1074,495.0,2130.0,31,2.5,NWAmes,CBlock,TA,Ex,TA
1554,13100,1,733,487.0,733.0,56,1.0,IDOTRR,Slab,Fa,Po,Fa
1464,224900,7,1768,543.0,2652.0,5,3.5,CollgCr,PConc,Gd,Ex,Gd
2469,176000,7,1266,453.0,2523.0,1,2.0,Somerst,PConc,Gd,Ex,Gd
1834,285000,8,2872,541.0,4555.0,15,2.5,NoRidge,PConc,Gd,Ex,Gd
